nParticles time        niter leaf
         1 0.00102954  2048   1
         2 0.00143884  1024   1
         4 0.00249182   512   1
         8 0.0073237    256   1
        16 0.022925      64   1
        32 0.0681724     32   1
        64 0.190016       8   1
       128 0.456145       4   1
       256 1.02407        2   1
       512 2.21832        1   1
      1024 4.78435        1   1
      2048 10.5188        1   1
      4096 22.6449        1   1
      8192 47.4552        1   1
     16384 98.0646        1   1
     32768 235.422        1   1
     65536 406.048        1   1
    131072 832.053        1   1
    262144 1764.76        1   1
    524288 3671.32        1   1
   1048576 7409.71        1   1
